#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-01-18 21:27:12
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2013-01-18 21:27:12 W3SVC60 208.123.218.206 GET /robots.txt - 80 - 66.249.73.154 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) 404 0 2
2013-01-18 21:27:12 W3SVC60 208.123.218.206 GET /images/upload2.png - 80 - 66.249.73.154 Googlebot-Image/1.0 304 0 0
#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2013-01-18 22:02:50
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2013-01-18 22:02:53 W3SVC60 208.123.218.206 GET /GP_city7/images/hidden_valley.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:53 W3SVC60 208.123.218.206 GET /GP_city7/images/royal_oaks.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/crystal_ridge.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /js/jquery.js - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/bear_creek_highlands.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/crystal_lake_estates.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/northridge.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/avondale.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/westgate.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/copperwood.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/airport.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/trumpeter_village.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/mountview.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/crystal_heights.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
2013-01-18 22:02:54 W3SVC60 208.123.218.206 GET /GP_city7/images/vla.png - 80 - 70.74.160.241 Mozilla/5.0+(Windows+NT+6.1;+WOW64;+rv:18.0)+Gecko/20100101+Firefox/18.0 200 0 0
