#Software: Microsoft Internet Information Services 6.0
#Version: 1.0
#Date: 2011-08-27 00:35:38
#Fields: date time s-sitename s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status 
2011-08-27 00:37:40 W3SVC60 208.123.218.206 GET /login.php - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 200 0 0
2011-08-27 00:37:40 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 404 0 2
2011-08-27 00:37:47 W3SVC60 208.123.218.206 POST /login.php - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 302 0 0
2011-08-27 00:37:47 W3SVC60 208.123.218.206 GET /gp_city7/style.css - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 304 0 0
2011-08-27 00:37:47 W3SVC60 208.123.218.206 GET /gp_city7/map20a.php - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 200 0 0
2011-08-27 00:37:47 W3SVC60 208.123.218.206 GET /images/ - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 403 14 5
2011-08-27 00:37:47 W3SVC60 208.123.218.206 GET /gp_city7/map20a.php - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 200 0 0
2011-08-27 00:37:49 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 404 0 2
2011-08-27 00:38:16 W3SVC60 208.123.218.206 GET /login.php - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 200 0 0
2011-08-27 00:38:16 W3SVC60 208.123.218.206 GET /favicon.ico - 80 - 64.178.128.233 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10_7_1)+AppleWebKit/535.1+(KHTML,+like+Gecko)+Chrome/13.0.782.215+Safari/535.1 404 0 2
